topic,link,type,skill name,specific link,description,course appears if,course appears if (numerical)
CAPSTONE,https://www.ibm.com/academic/topic/capstone,courseware,Getting Started with Cloud for the Enterprise,https://www.ibm.com/academic/topic/capstone?ach_id=b9de26db-b689-4894-bcad-5aa28deec936,"This course covers the basic foundations of cloud for the enterprise including: Consumer applications, Enterprise adoption, Delivery models and Industry Cloud Adoption.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Planning Analytics - Design & Develop Models in Workspace ,https://www.ibm.com/academic/topic/data-science?ach_id=94366672-0dd3-4ac6-bf44-9a0d78c43926,"This course is designed to teach modelers how to build a complete model in IBM Planning Analytics. Through a series of lectures and hands-on exercises, students will learn how to set up dimensions and cubes, manually enter data into these structures, and define the data that users can see.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Planning Analytics - Analyze Data and Create Reports,https://www.ibm.com/academic/topic/data-science?ach_id=202b1758-c742-45c3-a8d2-d227bc01c6b8,"This course is designed to teach analysts how to use IBM Planning Analytics to analyze data to discover trends and exceptions, create and customize reports and templates, and contribute data to plans.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,OpenDS4All,https://www.ibm.com/academic/topic/data-science?ach_id=bcd9ff28-1bf5-45ba-9386-328ebb96a4ee,OpenDS4All is a project created to accelerate the creation of data science curriculum at academic institutions.,both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,Getting Started with Enterprise Data Science,https://www.ibm.com/academic/topic/data-science?ach_id=8d72f699-26ac-4542-a701-6b69f50e6b5f,"This course provides a basic understanding of the foundations of Data Science including: Data Science Team Roles, Data Analysis Tools, and real-world use cases.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,Constraint Programming with ILOG CP Optimizer,https://www.ibm.com/academic/topic/data-science?ach_id=520052ab-1ee5-48c5-8f8f-a614a0971bb5,"Fundamentals of constraint programming (CP). CP is demonstrated through the use of ILOG CP Optimizer via ILOG OPL-CPLEX/ILOG Analyst Studio, a complete integrated development environment which leverages the powerful and intuitive algebraic modeling language, Optimization Programming Language.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,Overview of IBM Cognos Analytics,https://www.ibm.com/academic/topic/data-science?ach_id=fcce46b0-df00-4abc-9b02-cefc3c52ef08,This course provides participants with a high level overview of the IBM Cognos Analytics suite of products and their underlying architecture. They will examine each component as it relates to an Analytics solution.,both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Cognos Framework Manager - Design Metadata Models ,https://www.ibm.com/academic/topic/data-science?ach_id=c6009472-5471-4d40-a3d4-c68fde05ceb4,"This course provides an introduction to advanced knowledge of metadata modeling concepts, and how to model metadata for predictable reporting and analysis results using IBM Cognos Framework Manager.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Cognos Analytics - Author Reports Fundamentals ,https://www.ibm.com/academic/topic/data-science?ach_id=72ba50d6-da72-407e-a8f8-1a0c1e3c972f,"This course provides authors with an introduction to build reports using Cognos Analytics. Techniques to enhance, customize, and manage reports will be explored. Activities will illustrate and reinforce key concepts during this learning opportunity.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Cognos Analytics - Author Reports Advanced ,https://www.ibm.com/academic/topic/data-science?ach_id=31fea6d3-db52-4277-9a4d-0dc964f41c80,"This course teaches experienced authors advanced report building techniques to enhance, customize, manage, and distribute reports. Additionally, the student will learn how to create highly interactive and engaging reports that can be run offline by creating Active Reports.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Cognos Analytics - Author Reports with Multidimensional Data ,https://www.ibm.com/academic/topic/data-science?ach_id=0fd39d43-923f-4c81-9d04-3eb642192833,"Through interactive demonstrations and exercises, participants will learn how to author reports that navigate and manipulate dimensional data structures using the specific dimensional functions and features available in IBM Cognos Analytics.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,courseware,IBM Cognos Analytics - Architecture and Logging,https://www.ibm.com/academic/topic/data-science?ach_id=cb5cf932-60fd-4bbd-9951-1bc8c0900e78,"Through lecture and interactive exercises participants will identify IBM Cognos Analytics components, examine how these components interact with Java, and will explore logging to assist when troubleshooting issues.",both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,Overview of Process Mining,https://www.ibm.com/academic/topic/ibm-automation?ach_id=d4536c1f-3c0c-4350-b675-0b7f29820ae0,"This course introduces students to IBM Process Mining. Students will learn the differences between process mining and task mining, the different phases of process mining, use cases, and how process mining is performed. Students will also learn how to use IBM Process Mining to import data sources, map data, and how to visualize a process, along with the introduction to other major features of process mining.",both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,IBM Automation Learning Center,https://www.ibm.com/academic/topic/ibm-automation?ach_id=cd823e98-d665-4f0a-885f-34273091e71e,Getting started in your Automation journey is easy!,both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,IBM Process Mining Collection,https://www.ibm.com/academic/topic/ibm-automation?ach_id=3e44a76c-f261-4849-8f75-8c89802be296,Process mining uses business system data to create and visualize an end-to-end process that includes all the process activities involved along with the various process paths. Businesses analyze the discovered process to gain actionable insights for improvement.,both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,IBM Robotic Process Automation - Basic I,https://www.ibm.com/academic/topic/ibm-automation?ach_id=eadb3ad7-335b-4152-b7b9-28ac8439844d,"This is an introductory course to IBM Robotic Process Automation. In this course, students will learn the basics of inserting commands, publishing scripts, controlling the flow of scripts, and many other RPA essentials. This course provides students with the opportunity to learn and sharpen the basic skills needed to successfully learn IBM’s Robotic Process Automation.",both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,IBM Robotic Process Automation - Basic II,https://www.ibm.com/academic/topic/ibm-automation?ach_id=ca833692-6a84-4db4-828e-44f38b7e432a,"RPA Basic II is a continuation of the Basic I course, where students will further their RPA skills and learn more in-depth and essential concepts for the development of the programmer within IBM RPA resources. This course covers the use of assets, parameters, and the manipulation of PDFs, data tables, and databases",both,2
IBM AUTOMATION,https://www.ibm.com/academic/topic/ibm-automation,courseware,Fundamentals of IBM Process Mining,https://www.ibm.com/academic/topic/ibm-automation?ach_id=fe69d706-50d9-4c99-86e7-b79a91c4eefe,"Fundamentals of IBM process mining is a collection of courses that introduces students to process mining and how it is used to perform process and data analysis. Students will learn how to evaluate a process for potential candidates for Robotic Process Automation implementation. Students will also learn advanced data preparation, transformation concepts, and how to evaluate a multi-level process for maverick buying patterns. Finally, students will learn how to create and visualize end-to-end processes that include all process activities involved along with various process paths.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,courseware,Solution tutorials,https://www.ibm.com/academic/topic/cloud?ach_id=e79ecf63-74ae-4e12-b0b2-e97de8693f36,"Learn how to build, deploy and scale real-world solutions on IBM Cloud. These guides provide step-by-step instructions on how to use IBM Cloud to implement common patterns based on best practices and proven technologies.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,courseware,Journey to Cloud: Envisioning Your Solution,https://www.ibm.com/academic/topic/cloud?ach_id=c0b2b320-7cac-4b42-b5d9-10bbf2c6890e,"This credential earner demonstrates knowledge and understanding of the digital transformation drivers made possible by cloud technologies and services. This includes: how cloud works, its capabilities, types, and delivery models (IaaS, SaaS, and PaaS); digital transformation strategies such as Agile practices, the IBM Garage Method, and Enterprise Design Thinking to help organizations get started on their transformation journey; & deploying a test pilot cloud application using IBM Code Engine.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,courseware,IBM Cloud Associate Solution Advisor,https://www.ibm.com/academic/topic/cloud?ach_id=a8c57c17-476e-4b1d-8ee9-cebbbcf7029a,Learners in any job role can get a first look at cloud computing and IBM Cloud. No experience needed. Learn to discuss and use cloud services with confidence. Earn your first cloud certification.,both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,courseware,Cloud Native Bootcamp,https://www.ibm.com/academic/topic/cloud?ach_id=0a0ed707-058c-4bc0-b0bf-d3719d21153d,"Cloud is everywhere. Today, many companies want to migrate their applications on to cloud. For this migration to be done, the applications must be re-architected in a way that they fully utilize the advantages of the cloud.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,courseware,IBM CloudLabs,https://www.ibm.com/academic/topic/cloud?ach_id=9aa7bbb1-08c9-4e8f-83e5-365cfb3722ea,"With IBM CloudLabs, you'll have a chance to learn how to operate Kubernetes on IBM Cloud by completing three free interactive labs, entirely through your web browser.",both,2
IBM ENGINEERING,https://www.ibm.com/academic/topic/engineering,courseware,Quick Start Sessions,https://www.ibm.com/academic/topic/engineering?ach_id=4212934e-7c84-4947-9e5a-4110dd206ddc,"Learn how to use IBM Engineering tools. Quick Starts are short, focused, introductory hands-on labs designed to take less than two hours to complete.",both,2
IBM QUANTUM,https://www.ibm.com/academic/topic/quantum-computing,courseware,Quantum Machine Learning,https://www.ibm.com/academic/topic/quantum-computing?ach_id=4980ab77-f539-48de-926f-39ed73caa049,"This course contains around eight hours of content, and is aimed at self-learners who are comfortable with undergraduate-level mathematics and quantum computing fundamentals. This course will take you through key concepts in quantum machine learning, such as parameterized quantum circuits, training these circuits, and applying them to basic problems. By the end of the course, you’ll understand the state of the field, and you’ll be familiar with recent developments in both supervised and unsupervised learning such as quantum kernels and general adversarial networks. This course finishes with a project that you can use to showcase what you’ve learnt.",both,2
IBM QUANTUM,https://www.ibm.com/academic/topic/quantum-computing,courseware,Introduction to Quantum Computing and Quantum Hardware,https://www.ibm.com/academic/topic/quantum-computing?ach_id=c6ab97cf-7d60-4437-b3e5-a29ee75f72dc,"This course is an introduction to the world of quantum computing, with an exploration of some of the key quantum algorithms and their implementations using quantum circuits, as well as the quantum hardware that is designed to run these algorithms.",both,2
IBM QUANTUM,https://www.ibm.com/academic/topic/quantum-computing,courseware,Qiskit Textbook,https://www.ibm.com/academic/topic/quantum-computing?ach_id=1b63f368-d46f-48d3-8221-75b7f9ec515d,Qiskit makes it easy to start learning quantum software to run on real quantum hardware. Teach your students with the same tools used by scientists and engineers worldwide to accelerate research towards practical applications for quantum computing,both,2
IBM SECURITY,https://www.ibm.com/academic/topic/security,courseware,IBM Security Learning Academy,https://www.ibm.com/academic/topic/security?ach_id=ae814370-9289-408a-b08d-26a97a9d459d,Get free technical training for IBM Security products. You can explore the course catalog and build your own curriculum by enrolling in courses.,both,2
IBM SECURITY,https://www.ibm.com/academic/topic/security,courseware,Getting Started with Threat Intelligence and Hunting,https://www.ibm.com/academic/topic/security?ach_id=3f13c64c-c7ca-45d8-bce1-f05711460f09,"This is a foundational course, exposing the learner to threat intelligence concepts including: Attack trends by geography, threat intelligence tools and real-world use cases. Complete this course to get your badge.",both,2
IBM SECURITY,https://www.ibm.com/academic/topic/security,courseware,IBM QRadar SIEM Foundations,https://www.ibm.com/academic/topic/security?ach_id=391e3430-e89c-4aba-a067-605eb5f9f9a6,"IBM QRadar SIEM provides deep visibility into network, user, and application activity. It provides collection, normalization, correlation, and secure storage of events, flows, asset profiles, and vulnerabilities. QRadar SIEM classifies suspected attacks and policy violations as offenses.",both,2
IBM SECURITY,https://www.ibm.com/academic/topic/security,courseware,IBM QRadar SIEM Advanced Topics,https://www.ibm.com/academic/topic/security?ach_id=efe68f7c-4ecc-4af3-986a-fd20767a254c,"Using the skills taught in this course, you will be able to configure processing of uncommon events, work with reference data, and develop custom rules, custom actions, and custom anomoly detection rules using IBM Security QRadar.",both,2
IBM SECURITY,https://www.ibm.com/academic/topic/security,courseware,Developing Secure Software,https://www.ibm.com/academic/topic/security?ach_id=5fa327da-d138-4893-989f-7f46e625ecab,"Learn the security basics to develop software that is hardened against attacks, and understand how you can reduce the damage and speed the response when a vulnerability is exploited. Thanks to the involvement of OpenSSF, a cross-industry collaboration that brings together leaders to improve the security of open source software by building a broader community, targeted initiatives, and best practices, this course provides specific tips on how to use and develop open source and other software securely.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Introduction to the Mainframe,https://www.ibm.com/academic/topic/ibm-z?ach_id=d09f51c0-623d-42bf-b3f1-4b3b6390d9e2,"This textbook provides students with the background, knowledge, and skills necessary to begin using the basic facilities of a mainframe computer. Topics include: job roles; mainframe interfaces; Job Control Language; mainframe hardware and architecture; networking, and security topics",not signed in,0
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,IBM Z Enterprise Computing Kickstart,https://www.ibm.com/academic/topic/ibm-z?ach_id=8686319f-40c7-480d-9246-87f33c3dde32,"13 Courses (56 hours) of online, self-paced courses covering topics from the z/OS Mainframe System, the IBM Development Environment, JCL, WebSphere, COBOL and DB2. Differentiate yourself with essential skills needed by Fortune 500 companies to run their mission-critical workloads.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Introduction to the Cobol Language,https://www.ibm.com/academic/topic/ibm-z?ach_id=d9eb948d-7d1f-4dbb-82b9-0163d668ee64,"The student will learn computer programming and reporting for file-oriented, computerized information systems utilizing the COBOL language. Additional topics include: COBOL sorting routines; table handling features; structured coding techniques; sequential disk organization",not signed in,0
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Introduction to IBM zSystems,https://www.ibm.com/academic/topic/ibm-z?ach_id=1374257c-dd9b-4527-8376-eb1030e4461a,"This learning journey provides learning content and hands-on labs, and industry recognized badges and certifications from the hardware to the software.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,IBM Z System Administrator,https://www.ibm.com/academic/topic/ibm-z?ach_id=c975e88b-5b39-4d3b-8111-5b175c53e5e6,"Build knowledge and skills in IBM Z, a platform used in the world's most critical businesses. Start your career as an IBM Z System Administrator for free with this collection of learning assets.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Architecting Applications with IBM Z,https://www.ibm.com/academic/topic/ibm-z?ach_id=26352f71-436a-4b27-8f99-6ad454c3758b, This collection covers how to architect enterprise workloads with IBM Z using the latest technologies to successfully integrate with your hybrid multicloud.,both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,DevOps Transformations for IBM zSystems and CICD pipelines with DBB Git,https://www.ibm.com/academic/topic/ibm-z?ach_id=7564a47e-a4ed-4e67-bfcb-e9d4a29c169d,"This learning collection provides technical enablement materials in the area of Z DevOps transformations. There are cookbooks, tutorials, technical documents, white papers, demo videos, webinars, badged courses and more! These materials have been broken down into several sections based on the Persona/Role required for each phase of the project.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Application Modernization with IBM z/OS,https://www.ibm.com/academic/topic/ibm-z?ach_id=9e4d004a-b485-4ced-b508-4eace884abdc,"Applications running on IBM Z tend to be very stable, but not stagnant. This Learning Collection covers how to safely update apps using the latest technologies to deliver changes at the speed of business.",both,2
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,Linux on IBM Z,https://www.ibm.com/academic/topic/ibm-z?ach_id=8b0509ed-4320-4e87-83d8-79d2ab9eb8a4,"This course introduces the major functions and capabilities of Linux on IBM Z. It also goes into the advantages of Linux on System z including total cost of ownership, scalability, performance, administration, availability, system, memory management, security and connectivity advantages.",not signed in,0
IBM Z,https://www.ibm.com/academic/topic/ibm-z,courseware,z/OS Introduction,https://www.ibm.com/academic/topic/ibm-z?ach_id=f31ea33c-da0b-426c-97d2-1dd5cebaa0ed,"This series of short videos teaches you about the IBM Z environment. The course starts from the beginning teaching IBM Z basics and the flagship operating system z/OS. The course addresses access and interaction basics, data sets and data access methods, and operating system environment topics.",both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Introduction to OpenShift Applications (DO101),https://www.ibm.com/academic/topic/red-hat?ach_id=60f1582a-7652-4f98-bede-11abff141977,"A developer-focused introduction to OpenShift application building, deployment, scaling, and troubleshooting.",both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat System Administration I (RH124),https://www.ibm.com/academic/topic/red-hat?ach_id=8f7e3d8b-2faa-4d96-8297-7607bc22c909,The first of two courses that cover the core system administration tasks needed to manage Red Hat® Enterprise Linux® servers.,both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat System Administration II (RH134),https://www.ibm.com/academic/topic/red-hat?ach_id=a228722e-455c-4ed9-84ea-55d946831efe,Focuses on the key tasks needed to become a full-time Linux administrator,both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat Enterprise Linux Automation with Ansible (RH294),https://www.ibm.com/academic/topic/red-hat?ach_id=38365183-48ac-44a4-acba-c13e1a06d0d5,Learn how to automate Linux system administration tasks with Red Hat Ansible® Automation Platform,both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat OpenShift I: Containers & Kubernetes (DO180),https://www.ibm.com/academic/topic/red-hat?ach_id=ff8c2e5d-182b-4c2f-9c97-61f714e85ea0,Introduction to building and managing containers for deployment on a Kubernetes and OpenShift 4 cluster.,both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat OpenStack Administration I: Core Operations for Domain Operators (CL110),https://www.ibm.com/academic/topic/red-hat?ach_id=40ac4ef9-0288-4c24-8c89-6bd07e74cae4,"Learn to operate a Red Hat OpenStack Platform private cloud and manage domain resources to secure and deploy modern, scalable cloud applications, networks, and storage.",both,2
RED HAT ACADEMY,https://www.ibm.com/academic/topic/red-hat,courseware,Red Hat Application Development I: Programming in Java EE (AD183),https://www.ibm.com/academic/topic/red-hat?ach_id=9020b442-a0af-475d-9582-717332aee248,Helping Java SE developers write Java EE applications.,both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,resources,Machine Learning For Kids,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=3e05edcd-7913-4f23-860b-934cc358a591,"This free tool introduces machine learning by providing hands-on experiences for training machine learning systems and building things with them. It provides an easy-to-use guided environment for training machine learning models to recognize text, numbers, images, or sounds.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,resources,Machine Learning for Dummies,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=39fe2c27-1eee-41d1-9286-289bcbd58d83,This book gives you insights into what machine learning is all about and how it can impact the way you can weaponize data to gain unimaginable insights. Your data is only as good as what you do with it and how you manage it.,both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,resources,TJBot,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=dd7a048d-c09e-4155-a952-e4d45379bc22,"Have some fun and code your own AI robot with TJBot, a do-it-yourself template to learn, experiment with and explore AI using IBM Watson services. Get started with easy, step-by-step Instructions and pre-written recipes to bring TJBot to life.",both,2
AI,https://www.ibm.com/academic/topic/artificial-intelligence,resources,Build with Watson,https://www.ibm.com/academic/topic/artificial-intelligence?ach_id=7ee59ed9-5c4c-4539-addc-85ea700678a2,"Access the starter guide, community, resources and tooling to help you build with Watson.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,resources,EDT Practitioner,https://www.ibm.com/academic/topic/capstone?ach_id=33458628-ada4-4a40-8371-e89a3f370141,"The Practitioner Course will give you a baseline of Enterprise Design Thinking skills: collaboration, synthesis, design research, prototyping, and storytelling.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,resources,EDT Co-Creator,https://www.ibm.com/academic/topic/capstone?ach_id=b4feb615-8a22-495d-98ea-8d4781af3f98,"These activities will help you work on methods like identifying stakeholders, creating a research plan, and testing ideas.",both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,resources,IBM Design Equal Access Toolkit,https://www.ibm.com/academic/topic/capstone?ach_id=e0f12e72-3147-4440-a6b0-e16e1d600e77,Use this toolkit to increase the accessibility of your product regardless of role or expertise.,both,2
CAPSTONE,https://www.ibm.com/academic/topic/capstone,resources,Garage Method,https://www.ibm.com/academic/topic/capstone?ach_id=82710d90-74fe-4dcf-aa02-ed2f5e3aeddb,"The Methodology drives Enterprise Design Thinking at scale, is built on agile principles for colocated and distributed teams, leverages DevOps tools and techniques for continued delivery and operations, fosters digital talent and culture change, and enables Site Reliability Engineering.",both,2
DATA SCIENCE,https://www.ibm.com/academic/topic/data-science,resources,Data Asset eXchange,https://www.ibm.com/academic/topic/data-science?ach_id=c15fddd5-c8e4-40f1-809d-474ae81cd772,The IBM Data Asset eXchange (DAX) is an online hub for developers and data scientists to find free and open data sets under open data licenses.,both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,Get started with IBM Cloud,https://www.ibm.com/academic/topic/cloud?ach_id=6b89651f-07fc-4927-8403-e65a2a1b5105,"Get access to tutorials and materials to help you start building now with use AI, IoT, data and mobile services.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,IBM Cloud Foundation Skills Series,https://www.ibm.com/academic/topic/cloud?ach_id=6b410d73-e08a-4b33-a1f1-c1bf69135c0f,A series of videos which aims to give users of IBM Cloud a broad foundation knowledge and some deeper level skills in the tools and services that are available so that they can get started on using their account and building their first environments and applications.,both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,TJBot,https://www.ibm.com/academic/topic/cloud?ach_id=8e45b095-f2cb-4b0e-a796-9eb16fedaf91,"Have some fun and code your own AI robot with TJBot, a do-it-yourself template to learn, experiment with and explore AI using IBM Watson services. Get started with easy, step-by-step Instructions and pre-written recipes to bring TJBot to life.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,Open Source Cloud Guide,https://www.ibm.com/academic/topic/cloud?ach_id=b7d11c17-7fa4-4101-a6c2-22aa278eba26,This guide will provide comprehensive learning for hybrid cloud and multicloud developers. As well as an agnostic view of how various clouds are using open source in their offerings.,both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,IBM Cloud Academic User Group,https://www.ibm.com/academic/topic/cloud?ach_id=387268b9-5e61-4cc9-9b04-2f6e4de3e8f4,"A user group for students, faculty, researchers and others to discuss the IBM Cloud and ask questions.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,IBM Developer,https://www.ibm.com/academic/topic/cloud?ach_id=39beb633-ef1b-46e4-86f3-4f610822f926,"More than 100 open source programs, a library of knowledge resources, Developer Advocates ready to help, and a global community of developers. What in the world will you create?",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,IBM Cloud Documentation,https://www.ibm.com/academic/topic/cloud?ach_id=f865d108-f5b6-412b-bfa7-5eb73f18fc9a,"From core concepts to beginner tutorials, find the information you need to start using IBM Cloud.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,IBM Cloud Architecture Center,https://www.ibm.com/academic/topic/cloud?ach_id=2789e357-9c5d-46d0-93a6-b74e7c88a2fc,"IBM's architectures provide practices for building apps on the cloud. The reference architectures define the basic pattern, while implementations provide specific technology, practices, and tool choices to build and deploy that pattern.",both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,Cloud Brokering for Dummies,https://www.ibm.com/academic/topic/cloud?ach_id=9e256489-750c-4cc6-902f-8369a291bdcc,This book is intended to help you understand what it means to plan for a hybrid computing future. As more and more services move to the cloud you need to have the right information and the right approach so that you’re prepared for whatever the future brings to your business.,both,2
IBM CLOUD,https://www.ibm.com/academic/topic/cloud,resources,Cloud Services for Dummies,https://www.ibm.com/academic/topic/cloud?ach_id=c34c4a12-14e9-4b66-bbe2-5b9bf5dea195,This book gives you some insights into what it means to leverage both IaaS and PaaS in both public and private cloud environments and how these environments work with data center services.,both,2
IBM ENGINEERING,https://www.ibm.com/academic/topic/engineering,resources,Agile Development - Why Requirements Matter Smart Paper,https://www.ibm.com/academic/topic/engineering?ach_id=b5986248-55a6-40ca-8ed0-c17548cb2cc4,This interactive paper explores the ways requirements management brings value to agile development.,both,2
